req,origin_station,destination_station,start_driving_time,arriving_time,Rev
1,444,1669,2,5,378
1,1160,1669,2,5,378
1,2831,1669,2,5,378
1,2869,1669,2,6,378
1,8371,1669,2,5,378
2,301,41,2,4,250
2,301,1703,2,4,250
2,301,1710,2,4,250
2,301,2242,2,4,250
2,301,9178,2,4,250
2,808,41,2,4,250
2,808,906,2,4,250
2,808,1104,2,4,250
2,808,1106,2,4,250
2,808,1703,2,4,250
2,808,1710,2,4,250
2,808,2242,2,4,250
2,808,3211,2,4,250
2,808,7615,2,4,250
2,808,9178,2,4,250
2,809,41,2,4,250
2,809,808,2,4,250
2,809,906,2,4,250
2,809,1104,2,4,250
2,809,1703,2,4,250
2,809,1710,2,4,250
2,809,2242,2,4,250
2,809,3211,2,4,250
2,809,9178,2,4,250
2,1160,1710,2,4,250
2,1420,41,2,4,250
2,1420,1703,2,4,250
2,1420,1710,2,4,250
2,1420,2242,2,4,250
2,1420,9178,2,4,250
2,1594,41,2,4,250
2,1594,906,2,4,250
2,1594,1104,2,4,250
2,1594,1420,2,4,250
2,1594,1703,2,4,250
2,1594,1710,2,4,250
2,1594,2242,2,4,250
2,1594,9178,2,4,250
2,2327,41,2,4,250
2,2327,906,2,4,250
2,2327,1104,2,4,250
2,2327,1703,2,4,250
2,2327,1710,2,4,250
2,2327,2242,2,4,250
2,2327,2663,2,4,250
2,2327,3211,2,4,250
2,2327,7615,2,4,250
2,2353,906,2,4,250
2,2606,41,2,4,250
2,2606,906,2,4,250
2,2606,1104,2,5,250
2,2606,1703,2,5,250
2,2606,1710,2,5,250
2,2606,2242,2,4,250
2,2606,2663,2,4,250
2,2606,3211,2,4,250
2,2610,41,2,4,250
2,2610,809,2,4,250
2,2610,906,2,4,250
2,2610,1104,2,5,250
2,2610,1106,2,5,250
2,2610,1136,2,5,250
2,2610,1703,2,5,250
2,2610,1710,2,5,250
2,2610,2242,2,4,250
2,2610,2327,2,4,250
2,2610,2663,2,4,250
2,2610,3032,2,4,250
2,2610,3211,2,4,250
2,2610,7475,2,4,250
2,2610,7615,2,4,250
2,2610,9178,2,5,250
2,2610,10453,2,4,250
2,2869,41,2,4,250
2,2869,906,2,4,250
2,2869,1104,2,4,250
2,2869,1703,2,4,250
2,2869,1710,2,4,250
2,2869,2242,2,4,250
2,2869,2663,2,4,250
2,2869,3211,2,4,250
2,2869,7615,2,4,250
2,2869,9178,2,4,250
2,3273,41,2,4,250
2,3273,906,2,4,250
2,3273,1104,2,4,250
2,3273,1703,2,4,250
2,3273,1710,2,4,250
2,3273,2242,2,4,250
2,3273,2327,2,4,250
2,3273,2663,2,4,250
2,3273,3211,2,4,250
2,3273,7615,2,4,250
2,3273,9178,2,4,250
3,2606,374,2,4,286
3,2606,625,2,4,286
3,2606,769,2,4,286
3,2606,1847,2,4,286
3,2606,2185,2,4,286
3,2606,2848,2,4,286
3,2606,3025,2,4,286
3,2610,374,2,4,286
3,2610,625,2,4,286
3,2610,769,2,4,286
3,2610,1847,2,4,286
3,2610,2185,2,4,286
3,2610,2848,2,4,286
3,2610,3025,2,4,286
3,7475,769,2,5,286
3,7475,2185,2,5,286
8,41,506,3,6,267
8,41,2670,3,6,267
8,906,506,3,6,267
8,906,507,3,6,267
8,906,509,3,6,267
8,906,2670,3,6,267
8,2242,504,3,6,267
8,2242,506,3,6,267
8,2242,507,3,6,267
8,2242,509,3,6,267
8,2242,2670,3,6,267
8,2663,504,3,6,267
8,2663,506,3,6,267
8,2663,507,3,6,267
8,2663,509,3,6,267
8,2663,2670,3,6,267
8,3211,506,3,6,267
8,3211,507,3,6,267
8,3211,509,3,6,267
8,3211,2670,3,6,267
8,9178,506,3,6,267
8,9178,507,3,6,267
8,9178,509,3,6,267
8,9178,2670,3,6,267
11,41,625,4,7,337
11,41,769,4,7,337
11,41,1779,4,7,337
11,41,1847,4,7,337
11,41,2185,4,7,337
11,906,374,4,7,337
11,906,625,4,7,337
11,906,769,4,7,337
11,906,1779,4,7,337
11,906,1847,4,7,337
11,906,2185,4,7,337
11,906,2848,4,7,337
11,906,3025,4,7,337
11,1104,625,4,8,337
11,1104,769,4,7,337
11,1104,1847,4,7,337
11,1104,2185,4,7,337
11,1703,625,4,7,337
11,1703,769,4,7,337
11,1703,1779,4,7,337
11,1703,1847,4,7,337
11,1703,2185,4,7,337
11,1710,625,4,7,337
11,1710,769,4,7,337
11,1710,1779,4,7,337
11,1710,1847,4,7,337
11,1710,2185,4,7,337
11,2242,374,4,7,337
11,2242,625,4,7,337
11,2242,769,4,7,337
11,2242,1779,4,7,337
11,2242,1847,4,7,337
11,2242,2185,4,7,337
11,2242,3025,4,7,337
11,2327,769,4,7,337
11,2327,1847,4,7,337
11,2327,2185,4,7,337
11,2663,625,4,7,337
11,2663,769,4,7,337
11,2663,1847,4,7,337
11,2663,2185,4,7,337
11,3032,2185,4,7,337
11,3211,625,4,7,337
11,3211,769,4,7,337
11,3211,1847,4,7,337
11,3211,2185,4,7,337
11,7615,625,4,7,337
11,7615,769,4,7,337
11,7615,1847,4,7,337
11,7615,2185,4,7,337
11,9178,769,4,7,337
11,9178,2185,4,7,337
11,10453,769,4,7,337
12,41,19,4,7,378
12,41,514,4,7,378
12,41,2517,4,7,378
12,41,2670,4,7,378
12,906,19,4,7,378
12,906,514,4,7,378
12,906,2517,4,7,378
12,906,2670,4,7,378
12,1703,19,4,7,378
12,1703,514,4,7,378
12,1703,2517,4,7,378
12,1703,2670,4,7,378
12,1710,19,4,7,378
12,1710,60,4,7,378
12,1710,506,4,7,378
12,1710,507,4,7,378
12,1710,509,4,7,378
12,1710,514,4,7,378
12,1710,515,4,7,378
12,1710,518,4,7,378
12,1710,2517,4,7,378
12,1710,2670,4,7,378
12,2242,19,4,7,378
12,2242,60,4,7,378
12,2242,506,4,7,378
12,2242,507,4,7,378
12,2242,509,4,7,378
12,2242,514,4,7,378
12,2242,515,4,7,378
12,2242,2517,4,7,378
12,2242,2670,4,7,378
12,9178,19,4,7,378
12,9178,60,4,7,378
12,9178,506,4,7,378
12,9178,507,4,7,378
12,9178,509,4,7,378
12,9178,514,4,7,378
12,9178,515,4,7,378
12,9178,2517,4,7,378
12,9178,2670,4,7,378
14,41,60,4,7,310
14,41,515,4,7,310
14,41,518,4,7,310
14,41,524,4,7,310
14,906,60,4,7,310
14,906,515,4,7,310
14,906,518,4,7,310
14,906,524,4,7,310
14,906,1873,4,7,310
14,1703,515,4,7,310
14,1703,518,4,7,310
14,1703,524,4,7,310
14,1710,60,4,7,310
14,1710,515,4,7,310
14,1710,518,4,7,310
14,1710,519,4,7,310
14,1710,524,4,7,310
14,1710,526,4,7,310
14,1710,1873,4,7,310
14,1710,2519,4,7,310
14,1710,2523,4,7,310
