req,origin_station,destination_station,start_driving_time,arriving_time,Rev
2,41,374,1,3,383
2,41,625,1,3,383
2,41,769,1,3,383
2,41,770,1,3,383
2,41,1779,1,3,383
2,41,1847,1,3,383
2,41,2185,1,3,383
2,41,2848,1,3,383
2,41,3025,1,3,383
2,301,625,1,3,383
2,301,769,1,3,383
2,301,1847,1,3,383
2,301,2185,1,3,383
2,808,625,1,3,383
2,808,769,1,3,383
2,808,1847,1,3,383
2,808,2185,1,3,383
2,809,625,1,3,383
2,809,769,1,3,383
2,809,1847,1,3,383
2,809,2185,1,3,383
2,906,374,1,3,383
2,906,625,1,3,383
2,906,769,1,3,383
2,906,770,1,3,383
2,906,1779,1,3,383
2,906,1847,1,3,383
2,906,2185,1,3,383
2,906,2848,1,3,383
2,906,3025,1,3,383
2,906,10152,1,3,383
2,1104,374,1,3,383
2,1104,625,1,4,383
2,1104,769,1,3,383
2,1104,1779,1,4,383
2,1104,1847,1,3,383
2,1104,2185,1,3,383
2,1104,2848,1,3,383
2,1104,3025,1,3,383
2,1106,625,1,3,383
2,1106,769,1,3,383
2,1106,1779,1,3,383
2,1106,1847,1,3,383
2,1106,2185,1,3,383
2,1136,625,1,3,383
2,1136,769,1,3,383
2,1136,1847,1,3,383
2,1136,2185,1,3,383
2,1160,625,2,4,383
2,1160,769,2,3,383
2,1160,1779,2,4,383
2,1160,1847,2,3,383
2,1160,2185,2,3,383
2,1420,625,1,3,383
2,1420,769,1,3,383
2,1420,1847,1,3,383
2,1420,2185,1,3,383
2,1594,769,1,3,383
2,1594,1847,1,3,383
2,1594,2185,1,3,383
2,1684,625,1,4,383
2,1684,769,1,4,383
2,1684,1847,1,4,383
2,1684,2185,1,4,383
2,1703,374,1,3,383
2,1703,625,1,3,383
2,1703,769,1,3,383
2,1703,1779,1,3,383
2,1703,1847,1,3,383
2,1703,2185,1,3,383
2,1703,2848,1,3,383
2,1703,3025,1,3,383
2,1710,374,1,3,383
2,1710,625,1,3,383
2,1710,769,1,3,383
2,1710,770,1,3,383
2,1710,1779,1,3,383
2,1710,1847,1,3,383
2,1710,2185,1,3,383
2,1710,2848,1,3,383
2,1710,3025,1,3,383
2,1856,2185,1,3,383
2,2242,374,1,3,383
2,2242,625,1,3,383
2,2242,769,1,3,383
2,2242,770,1,3,383
2,2242,1779,1,3,383
2,2242,1847,1,3,383
2,2242,2185,1,3,383
2,2242,2848,1,3,383
2,2242,3025,1,3,383
2,2242,10152,1,3,383
2,2327,625,1,3,383
2,2327,769,1,3,383
2,2327,1779,1,3,383
2,2327,1847,1,3,383
2,2327,2185,1,3,383
2,2391,625,1,3,383
2,2391,769,1,3,383
2,2391,1847,1,3,383
2,2391,2185,1,3,383
2,2663,374,1,3,383
2,2663,625,1,3,383
2,2663,769,1,3,383
2,2663,770,1,3,383
2,2663,1779,1,3,383
2,2663,1847,1,3,383
2,2663,2185,1,3,383
2,2663,2848,1,3,383
2,2663,3025,1,3,383
2,2869,625,2,4,383
2,2869,769,2,4,383
2,2869,1779,2,4,383
2,2869,1847,2,4,383
2,2869,2185,2,4,383
2,2900,769,1,3,383
2,2900,2185,1,3,383
2,3032,374,1,3,383
2,3032,625,1,3,383
2,3032,769,1,3,383
2,3032,1847,1,3,383
2,3032,2185,1,3,383
2,3032,2848,1,3,383
2,3032,3025,1,3,383
2,3211,374,1,3,383
2,3211,625,1,3,383
2,3211,769,1,3,383
2,3211,1779,1,3,383
2,3211,1847,1,3,383
2,3211,2185,1,3,383
2,3211,2848,1,3,383
2,3211,3025,1,3,383
2,7475,625,1,3,383
2,7475,769,1,3,383
2,7475,1779,1,3,383
2,7475,1847,1,3,383
2,7475,2185,1,3,383
2,7475,3025,1,3,383
2,7615,374,1,3,383
2,7615,625,1,3,383
2,7615,769,1,3,383
2,7615,1779,1,3,383
2,7615,1847,1,3,383
2,7615,2185,1,3,383
2,7615,2848,1,3,383
2,7615,3025,1,3,383
2,9178,625,1,3,383
2,9178,769,1,3,383
2,9178,1779,1,3,383
2,9178,1847,1,3,383
2,9178,2185,1,3,383
2,10453,625,1,3,383
2,10453,769,1,3,383
2,10453,1779,1,3,383
2,10453,1847,1,3,383
2,10453,2185,1,3,383
3,625,41,1,3,309
3,625,906,1,3,309
3,625,1710,1,3,309
3,625,2242,1,3,309
3,769,41,1,3,309
3,769,301,1,3,309
3,769,808,1,3,309
3,769,809,1,3,309
3,769,906,1,3,309
3,769,1104,1,3,309
3,769,1106,1,3,309
3,769,1136,1,3,309
3,769,1160,1,2,309
3,769,1420,1,3,309
3,769,1594,1,3,309
3,769,1684,1,3,309
3,769,1703,1,3,309
3,769,1710,1,3,309
3,769,2242,1,3,309
3,769,2327,1,3,309
3,769,2391,1,3,309
3,769,2663,1,3,309
3,769,2869,1,2,309
3,769,2900,1,3,309
3,769,3032,1,3,309
3,769,3211,1,3,309
3,769,7475,1,3,309
3,769,7615,1,3,309
3,769,9178,1,3,309
3,769,10453,1,3,309
3,770,906,1,3,309
3,808,41,2,3,309
3,808,301,2,3,309
3,808,809,2,3,309
3,808,906,2,3,309
3,808,1104,2,3,309
3,808,1106,2,3,309
3,808,1420,2,3,309
3,808,1703,2,3,309
3,808,1710,2,3,309
3,808,2242,2,3,309
3,808,2663,2,3,309
3,808,3211,2,3,309
3,808,7615,2,3,309
3,808,9178,2,3,309
3,809,41,2,3,309
3,809,301,2,3,309
3,809,808,2,3,309
3,809,906,2,3,309
3,809,1104,2,3,309
3,809,1106,2,3,309
3,809,1420,2,3,309
3,809,1594,2,3,309
3,809,1703,2,3,309
3,809,1710,2,3,309
3,809,2242,2,3,309
3,809,2663,2,3,309
3,809,3211,2,3,309
3,809,7615,2,3,309
3,809,9178,2,3,309
3,1160,1703,2,3,309
3,1160,1710,2,3,309
3,1160,2242,2,3,309
3,1160,9178,2,3,309
3,1594,41,2,3,309
3,1594,906,2,3,309
3,1594,1104,2,3,309
3,1594,1420,2,3,309
3,1594,1703,2,3,309
3,1594,1710,2,3,309
3,1594,2242,2,3,309
3,1594,3211,2,3,309
3,1594,9178,2,3,309
3,1779,906,1,3,309
3,1847,41,1,3,309
3,1847,808,1,3,309
3,1847,809,1,3,309
3,1847,906,1,3,309
3,1847,1104,1,3,309
3,1847,1106,1,3,309
3,1847,1136,1,3,309
3,1847,1160,1,2,309
3,1847,1420,1,3,309
3,1847,1594,1,3,309
3,1847,1703,1,3,309
3,1847,1710,1,3,309
3,1847,2242,1,3,309
3,1847,2327,1,3,309
3,1847,2391,1,3,309
3,1847,2663,1,3,309
3,1847,2869,1,3,309
3,1847,3032,1,3,309
3,1847,3211,1,3,309
3,1847,7475,1,3,309
3,1847,7615,1,3,309
3,1847,9178,1,3,309
3,1847,10453,1,3,309
3,2185,41,1,3,309
3,2185,906,1,3,309
3,2185,1104,1,3,309
3,2185,1703,1,3,309
3,2185,1710,1,3,309
3,2185,2242,1,3,309
3,2185,2663,1,3,309
3,2185,3211,1,3,309
3,2185,7615,1,3,309
3,2185,9178,1,3,309
3,2848,41,1,3,309
3,2848,906,1,3,309
3,2848,1104,1,3,309
3,2848,1710,1,3,309
3,2848,2242,1,3,309
3,2848,2663,1,3,309
3,2848,3032,1,3,309
3,2869,41,2,3,309
3,2869,809,2,3,309
3,2869,906,2,3,309
3,2869,1104,2,3,309
3,2869,1703,2,3,309
3,2869,1710,2,3,309
3,2869,2242,2,3,309
3,2869,2327,2,3,309
3,2869,2663,2,3,309
3,2869,3211,2,3,309
3,2869,7615,2,3,309
3,2869,9178,2,3,309
3,3025,41,1,3,309
3,3025,906,1,3,309
3,3025,1104,1,3,309
3,3025,1703,1,3,309
3,3025,1710,1,3,309
3,3025,2242,1,3,309
3,3025,2663,1,3,309
3,3025,3032,1,3,309
3,3025,3211,1,3,309
3,3025,7615,1,3,309
3,3025,9178,1,3,309
5,2606,374,1,2,338
5,2606,625,1,2,338
5,2606,769,1,2,338
5,2606,770,1,2,338
5,2606,1779,1,3,338
5,2606,1847,1,2,338
5,2606,2185,1,2,338
5,2606,2848,1,2,338
5,2606,3025,1,2,338
5,2610,374,1,2,338
5,2610,625,1,2,338
5,2610,769,1,2,338
5,2610,770,1,2,338
5,2610,1779,1,2,338
5,2610,1847,1,2,338
5,2610,2185,1,2,338
5,2610,2848,1,2,338
5,2610,3025,1,2,338
5,7475,625,1,3,338
5,7475,769,1,3,338
5,7475,1779,1,3,338
5,7475,1847,1,3,338
5,7475,2185,1,3,338
5,7475,3025,1,3,338
8,301,1710,3,4,301
8,301,2242,3,4,301
8,808,41,2,3,301
8,808,906,2,3,301
8,808,1104,2,3,301
8,808,1703,2,3,301
8,808,1710,2,3,301
8,808,2242,2,3,301
8,808,9178,2,3,301
8,809,41,2,3,301
8,809,906,2,3,301
8,809,1104,2,3,301
8,809,1703,2,3,301
8,809,1710,2,3,301
8,809,2242,2,3,301
8,809,9178,2,3,301
8,1420,41,3,4,301
8,1420,1703,3,4,301
8,1420,1710,3,4,301
8,1420,2242,3,4,301
8,1420,9178,3,4,301
8,1594,41,2,3,301
8,1594,906,2,3,301
8,1594,1104,2,3,301
8,1594,1703,2,3,301
8,1594,1710,2,3,301
8,1594,2242,2,3,301
8,1594,9178,2,3,301
8,2327,41,2,3,301
8,2327,906,2,3,301
8,2327,2242,2,3,301
8,2869,41,2,3,301
8,2869,906,2,3,301
8,2869,1703,2,3,301
8,2869,1710,2,3,301
8,2869,2242,2,3,301
11,41,60,2,4,373
11,41,515,2,4,373
11,41,518,2,4,373
11,41,519,2,4,373
11,41,524,2,4,373
11,41,526,2,4,373
11,41,527,2,4,373
11,41,1873,2,4,373
11,41,2519,2,4,373
11,41,2523,2,4,373
11,41,2683,2,4,373
11,41,6001,2,5,373
11,906,60,2,4,373
11,906,515,2,4,373
11,906,518,2,4,373
11,906,519,2,4,373
11,906,524,2,4,373
11,906,526,2,4,373
11,906,527,2,4,373
11,906,1873,2,4,373
11,906,2519,2,4,373
11,906,2523,2,4,373
11,906,2676,2,4,373
11,906,2683,2,4,373
11,906,6001,2,5,373
11,906,10025,2,5,373
11,1104,518,2,5,373
11,1104,526,2,5,373
11,1104,527,2,5,373
11,1104,2523,2,5,373
11,1136,60,2,5,373
11,1136,515,2,5,373
11,1136,518,2,5,373
11,1136,519,2,5,373
11,1136,526,2,5,373
11,1136,527,2,5,373
11,1136,1873,2,5,373
11,1136,2519,2,5,373
11,1136,2523,2,5,373
11,1136,2683,2,5,373
11,1136,6001,2,5,373
11,1420,526,2,4,373
11,1420,2523,2,4,373
11,1594,526,2,4,373
11,1703,60,2,4,373
11,1703,515,2,4,373
11,1703,518,2,4,373
11,1703,519,2,4,373
11,1703,524,2,4,373
11,1703,526,2,4,373
11,1703,527,2,4,373
11,1703,1873,2,4,373
11,1703,2519,2,4,373
11,1703,2523,2,4,373
11,1703,2683,2,5,373
11,1703,6001,2,5,373
11,1703,10025,2,5,373
11,1710,19,2,4,373
11,1710,60,2,4,373
11,1710,514,2,4,373
11,1710,515,2,4,373
11,1710,518,2,4,373
11,1710,519,2,4,373
11,1710,524,2,4,373
11,1710,526,2,4,373
11,1710,527,2,4,373
11,1710,1873,2,4,373
11,1710,2517,2,4,373
