req,origin_station,destination_station,start_driving_time,arriving_time,Rev
3,59,8,1,2,338
3,59,24,1,2,338
3,59,27,1,2,338
3,59,28,1,2,338
3,59,46,1,2,338
3,59,50,1,2,338
3,59,68,1,2,338
3,59,71,1,2,338
3,60,8,1,2,338
3,60,24,1,2,338
3,60,27,1,2,338
3,60,28,1,2,338
3,60,45,1,2,338
3,60,46,1,2,338
3,60,50,1,2,338
3,60,68,1,2,338
3,60,71,1,2,338
16,8,54,4,5,484
16,8,59,4,5,484
16,8,60,4,5,484
16,8,75,4,5,484
16,24,54,4,5,484
16,24,60,4,5,484
16,24,75,4,5,484
16,25,54,4,5,484
16,25,60,4,5,484
16,27,54,4,5,484
16,27,59,4,5,484
16,27,60,4,5,484
16,27,75,4,5,484
16,40,24,4,5,484
16,40,45,4,5,484
16,40,54,4,5,484
16,40,59,4,5,484
16,40,60,4,5,484
16,40,75,4,5,484
16,45,54,4,5,484
16,45,60,4,5,484
16,46,54,4,5,484
16,46,59,4,5,484
16,46,60,4,5,484
16,46,75,4,5,484
16,50,54,4,5,484
16,50,59,4,5,484
16,50,60,4,5,484
16,50,75,4,5,484
16,66,24,4,5,484
16,66,45,4,5,484
16,66,50,4,5,484
16,66,54,4,5,484
16,66,59,4,5,484
16,66,60,4,5,484
16,66,75,4,5,484
16,73,54,4,5,484
18,39,62,4,5,347
18,69,62,4,5,347
52,59,8,14,15,324
52,59,24,14,15,324
52,59,27,14,15,324
52,59,46,14,15,324
52,59,50,14,15,324
52,59,68,14,15,324
52,59,71,14,15,324
52,60,8,14,15,324
52,60,24,14,15,324
52,60,27,14,15,324
52,60,45,14,15,324
52,60,46,14,15,324
52,60,50,14,15,324
52,60,68,14,15,324
52,60,71,14,15,324
59,1,26,15,16,377
59,31,26,15,16,377
59,32,26,15,16,377
59,43,26,15,16,377
59,47,26,15,16,377
75,54,31,18,19,291
75,54,61,18,19,291
75,54,74,18,19,291
75,54,79,18,19,291
93,60,45,23,24,422
100,39,62,24,25,373
100,69,62,24,25,373
106,59,8,25,26,329
106,59,24,25,26,329
106,59,27,25,26,329
106,59,46,25,26,329
106,59,50,25,26,329
106,59,71,25,26,329
106,60,8,25,26,329
106,60,24,25,26,329
106,60,27,25,26,329
106,60,45,25,26,329
106,60,46,25,26,329
106,60,50,25,26,329
106,60,71,25,26,329
132,6,76,33,34,361
132,29,76,33,34,361
132,30,76,33,34,361
132,37,76,33,34,361
