reqId	ON	DN	ST	Rev	TrT
1	827	589	0	440	15
2	7530	258	0	349	12
3	2812	548	0	370	13
4	7002	521	0	318	11
5	1604	630	0	241	9
6	1591	7607	0	466	16
7	1871	2586	0	332	12
8	7005	1540	0	361	13
9	1467	2543	0	378	13
10	674	655	1	291	10
11	6524	551	1	364	13
12	3030	7946	1	368	13
13	1605	1231	1	374	13
14	689	3131	1	377	13
15	2613	2316	1	258	9
16	2174	2839	2	351	12
17	1385	257	3	572	20
18	2414	2454	3	335	12
19	2240	7647	3	368	13
20	7008	1936	3	246	9
21	1605	605	3	524	18
22	2795	1112	4	322	11
23	1195	4843	4	347	12
24	1922	727	4	265	9
25	7008	3594	4	356	12
26	2203	2683	4	373	13
27	5982	977	4	416	14
28	2718	2754	5	246	9
29	1404	9	5	360	12
30	2612	5388	5	439	15
31	409	563	5	416	14
32	1585	1182	5	316	11
33	7008	378	6	310	11
34	961	379	6	325	11
35	2391	1254	6	561	19
36	8388	597	6	444	15
37	897	584	6	539	18
38	2392	1345	6	357	12
39	804	1672	6	396	14
40	2390	2199	6	349	12
41	327	10027	6	305	11
42	327	1247	7	467	16
43	910	3655	7	356	12
44	380	2018	7	328	11
45	515	3982	7	315	11
46	1754	2535	7	359	12
47	1605	3708	7	443	15
48	1329	1255	7	323	11
49	494	256	8	362	13
50	2089	2993	8	310	11
51	2799	8859	8	422	15
52	1385	5303	8	371	13
53	7485	318	8	199	7
54	2670	22	9	409	14
55	799	2162	9	445	15
56	2253	1408	9	448	15
57	3494	1253	9	345	12
58	897	258	9	562	19
59	1606	4841	10	335	12
60	909	3138	10	544	19
61	2697	224	10	280	10
62	788	1531	10	304	11
63	1853	2676	10	281	10
64	1612	393	11	426	15
65	2933	1245	11	500	17
66	3097	596	11	318	11
67	420	2160	11	372	13
68	1596	2063	12	372	13
69	2914	6847	12	308	11
70	688	5379	12	384	13
71	1419	7567	12	317	11
72	2826	1249	12	396	14
73	3413	1678	12	422	15
74	5434	2527	12	302	11
75	2627	1244	12	339	12
76	2823	2746	12	441	15
77	7213	1251	12	438	15
78	2617	4840	13	335	12
79	2143	1441	13	326	11
80	2280	1426	13	328	11
81	1609	643	13	415	14
82	1809	2160	14	358	12
83	5988	3245	14	309	11
84	11	7009	14	351	12
85	2275	248	15	409	14
86	435	3242	15	420	14
87	2689	1443	16	369	13
88	1609	4837	17	310	11
89	1159	2566	17	424	15
90	9217	1916	17	318	11
91	6999	2530	17	376	13
92	6516	4840	18	405	14
93	3274	1641	18	341	12
94	2276	2555	18	371	13
95	8379	7212	19	564	19
