req,origin_station,destination_station,start_driving_time,arriving_time,Rev
3,60,9,1,2,338
3,60,25,1,2,338
3,60,28,1,2,338
3,60,29,1,2,338
3,60,47,1,2,338
3,60,51,1,2,338
3,60,69,1,2,338
3,60,72,1,2,338
3,61,9,1,2,338
3,61,25,1,2,338
3,61,28,1,2,338
3,61,29,1,2,338
3,61,46,1,2,338
3,61,47,1,2,338
3,61,51,1,2,338
3,61,69,1,2,338
3,61,72,1,2,338
16,9,55,4,5,484
16,9,60,4,5,484
16,9,61,4,5,484
16,9,76,4,5,484
16,25,55,4,5,484
16,25,61,4,5,484
16,25,76,4,5,484
16,26,55,4,5,484
16,26,61,4,5,484
16,28,55,4,5,484
16,28,60,4,5,484
16,28,61,4,5,484
16,28,76,4,5,484
16,41,25,4,5,484
16,41,46,4,5,484
16,41,55,4,5,484
16,41,60,4,5,484
16,41,61,4,5,484
16,41,76,4,5,484
16,46,55,4,5,484
16,46,61,4,5,484
16,47,55,4,5,484
16,47,60,4,5,484
16,47,61,4,5,484
16,47,76,4,5,484
16,51,55,4,5,484
16,51,60,4,5,484
16,51,61,4,5,484
16,51,76,4,5,484
16,67,25,4,5,484
16,67,46,4,5,484
16,67,51,4,5,484
16,67,55,4,5,484
16,67,60,4,5,484
16,67,61,4,5,484
16,67,76,4,5,484
16,74,55,4,5,484
18,40,63,4,5,347
18,70,63,4,5,347
52,60,9,14,15,324
52,60,25,14,15,324
52,60,28,14,15,324
52,60,47,14,15,324
52,60,51,14,15,324
52,60,69,14,15,324
52,60,72,14,15,324
52,61,9,14,15,324
52,61,25,14,15,324
52,61,28,14,15,324
52,61,46,14,15,324
52,61,47,14,15,324
52,61,51,14,15,324
52,61,69,14,15,324
52,61,72,14,15,324
59,2,27,15,16,377
59,32,27,15,16,377
59,33,27,15,16,377
59,44,27,15,16,377
59,48,27,15,16,377
75,55,32,18,19,291
75,55,62,18,19,291
75,55,75,18,19,291
75,55,80,18,19,291
93,61,46,23,24,422
100,40,63,24,25,373
100,70,63,24,25,373
106,60,9,25,26,329
106,60,25,25,26,329
106,60,28,25,26,329
106,60,47,25,26,329
106,60,51,25,26,329
106,60,72,25,26,329
106,61,9,25,26,329
106,61,25,25,26,329
106,61,28,25,26,329
106,61,46,25,26,329
106,61,47,25,26,329
106,61,51,25,26,329
106,61,72,25,26,329
132,7,77,33,34,361
132,30,77,33,34,361
132,31,77,33,34,361
132,38,77,33,34,361
132,40,63,33,34,361
132,40,77,33,34,361
132,45,77,33,34,361
132,52,77,33,34,361
132,54,77,33,34,361
132,60,77,33,34,361
132,68,77,33,34,361
132,80,77,33,34,361
132,81,77,33,34,361
132,82,77,33,34,361
132,85,77,33,34,361
136,40,63,34,35,348
136,70,63,34,35,348
141,60,9,35,36,348
141,60,25,35,36,348
141,60,28,35,36,348
141,60,47,35,36,348
141,60,51,35,36,348
141,61,9,35,36,348
141,61,25,35,36,348
141,61,28,35,36,348
141,61,46,35,36,348
141,61,47,35,36,348
141,61,51,35,36,348
146,61,11,37,38,338
146,61,12,37,38,338
146,61,13,37,38,338
146,61,63,37,38,338
151,7,22,38,39,504
151,30,22,38,39,504
151,31,22,38,39,504
151,38,22,38,39,504
151,40,22,38,39,504
151,54,22,38,39,504
151,70,22,38,39,504
151,82,22,38,39,504
156,36,28,40,41,334
156,36,47,40,41,334
156,36,51,40,41,334
156,36,72,40,41,334
166,28,70,43,44,371
173,82,84,44,45,365
176,69,39,45,46,344
181,60,25,47,48,390
181,60,51,47,48,390
181,61,25,47,48,390
181,61,46,47,48,390
181,61,51,47,48,390
198,18,2,57,58,417
198,18,32,57,58,417
198,18,36,57,58,417
198,18,44,57,58,417
198,18,45,57,58,417
198,18,52,57,58,417
198,18,62,57,58,417
198,18,68,57,58,417
198,18,75,57,58,417
198,18,81,57,58,417
198,18,82,57,58,417
213,40,63,66,67,379
215,1,80,69,70,332
215,3,80,69,70,332
215,5,80,69,70,332
215,15,80,69,70,332
215,16,80,69,70,332
215,17,80,69,70,332
215,18,80,69,70,332
215,19,80,69,70,332
215,20,80,69,70,332
215,21,80,69,70,332
215,49,80,69,70,332
215,57,80,69,70,332
215,58,80,69,70,332
215,59,80,69,70,332
215,64,80,69,70,332
215,65,80,69,70,332
221,60,25,73,74,332
221,60,51,73,74,332
223,10,20,74,75,499
223,10,21,74,75,499
223,10,42,74,75,499
223,10,59,74,75,499
223,10,66,74,75,499
223,36,42,74,75,499
