K,β_w,K_a,H,PP_time
1000,5,94,3081,18.896358041
2000,5,180,5014,13.844226958
3000,5,278,6914,11.369367084
5000,5,457,10678,17.326957167
10000,5,884,19167,28.617886292
1000,6,94,3081,1.43313725
2000,6,180,5014,3.103720375
3000,6,278,6914,4.476138666
5000,6,457,10678,7.584861125
10000,6,884,19167,14.733742792
1000,7,94,3081,1.311876
2000,7,180,5014,2.854488667
3000,7,278,6914,4.039945375
5000,7,457,10678,6.939739708
10000,7,884,19167,14.170708375
1000,8,94,3081,1.458855708
2000,8,180,5014,3.020726666
3000,8,278,6914,4.229436458
5000,8,457,10678,7.009220708
10000,8,884,19167,14.659362417
1000,10,95,10133,5.252553583
2000,10,181,18638,9.604413167
3000,10,279,29859,13.981507916
5000,10,461,46044,24.9055685
10000,10,891,81983,50.849672833
1000,15,95,18878,8.832556209
2000,15,181,37494,17.850877625
3000,15,280,62556,26.797911292
5000,15,462,100715,45.041405916
10000,15,892,197791,89.458081583
