K,β_w,K_a,H,PP_time
1000,5,609,29286,33.588075
2000,5,1194,54539,20.5621068
3000,5,1786,81917,17.0208111
5000,5,2977,133389,23.3185062
10000,5,5994,257512,33.069971
1000,6,636,35168,1.3837709
2000,6,1243,65711,3.1936825
3000,6,1854,99488,4.7237609
5000,6,3094,161528,7.6915545
10000,6,6213,311343,15.1599507
1000,7,646,39767,1.7574823
2000,7,1259,74457,4.0059371
3000,7,1879,113097,5.7019078
5000,7,3138,183895,9.7352451
10000,7,6289,355240,18.8955496
1000,8,648,42587,2.4778197
2000,8,1263,80320,4.595117
3000,8,1884,122628,7.2169377
5000,8,3146,198818,12.0915323
10000,8,6308,384121,25.1139398
1000,10,648,44714,3.6563845
2000,10,1264,84328,7.2662329
3000,10,1885,129181,10.4262572
5000,10,3148,209191,17.3452159
10000,10,6311,404848,34.7052168
1000,15,648,45124,6.5738825
2000,15,1264,85168,15.2030512
3000,15,1885,130824,19.56312
5000,15,3148,211619,33.3831274
10000,15,6311,409953,65.2072718
